ID	ProteinID	Function 	Localization
652	Q01085	RNA-binding protein involved in alternative pre-RNA splicing and in cytoplasmic stress granules formation (PubMed:10613902, PubMed:1326761, PubMed:17488725, PubMed:8576255). Shows a preference for uridine-rich RNAs (PubMed:8576255). Activates splicing of alternative exons with weak 5' splice sites followed by a U-rich stretch on its own pre-mRNA and on TIA1 mRNA (By similarity). Promotes the inclusion of TIA1 exon 5 to give rise to the long isoform (isoform a) of TIA1 (PubMed:17488725). Acts downstream of the stress-induced phosphorylation of EIF2S1/EIF2A to promote the recruitment of untranslated mRNAs to cytoplasmic stress granules (SG) (PubMed:10613902). Possesses nucleolytic activity against cytotoxic lymphocyte target cells (PubMed:1326761). May be involved in apoptosis (PubMed:1326761)	Nucleus
653	Q92547	Scaffold protein that acts as a key protein-protein adapter in DNA replication and DNA repair (PubMed:10498869, PubMed:11395493, PubMed:11714696, PubMed:17575048, PubMed:20545769, PubMed:21777809, PubMed:26811421, PubMed:30898438, PubMed:31135337, PubMed:33592542, PubMed:35597237, PubMed:37674080). Composed of multiple BRCT domains, which specifically recognize and bind phosphorylated proteins, bringing proteins together into functional combinations (PubMed:17575048, PubMed:20545769, PubMed:21777809, PubMed:26811421, PubMed:30898438, PubMed:31135337, PubMed:35597237, PubMed:37674080). Required for DNA replication initiation but not for the formation of pre-replicative complexes or the elongation stages (By similarity). Necessary for the loading of replication factors onto chromatin, including GMNC, CDC45, DNA polymerases and components of the GINS complex (By similarity). Plays a central role in DNA repair by bridging proteins and promoting recruitment of proteins to DNA damage sites (PubMed:30898438, PubMed:35597237, PubMed:37674080). Involved in double-strand break (DSB) repair via homologous recombination in S-phase by promoting the exchange between the DNA replication factor A (RPA) complex and RAD51 (PubMed:26811421, PubMed:35597237). Mechanistically, TOPBP1 is recruited to DNA damage sites in S-phase via interaction with phosphorylated HTATSF1, and promotes the loading of RAD51, thereby facilitating RAD51 nucleofilaments formation and RPA displacement, followed by homologous recombination (PubMed:35597237). Involved in microhomology-mediated end-joining (MMEJ) DNA repair by promoting recruitment of polymerase theta (POLQ) to DNA damage sites during mitosis (PubMed:37674080). MMEJ is an alternative non-homologous end-joining (NHEJ) machinery that takes place during mitosis to repair DSBs in DNA that originate in S-phase (PubMed:37674080). Recognizes and binds POLQ phosphorylated by PLK1, enabling its recruitment to DSBs for subsequent repair (PubMed:37674080). Involved in G1 DNA damage checkpoint by acting as a molecular adapter that couples TP53BP1 and the 9-1-1 complex (PubMed:31135337). In response to DNA damage, triggers the recruitment of checkpoint signaling proteins on chromatin, which activate the CHEK1 signaling pathway and block S-phase progression (PubMed:16530042, PubMed:21777809). Acts as an activator of the kinase activity of ATR (PubMed:16530042, PubMed:21777809). Also required for chromosomal stability when DSBs occur during mitosis by forming filamentous assemblies that bridge MDC1 and tether broken chromosomes during mitosis (PubMed:30898438). Together with CIP2A, plays an essential role in the response to genome instability generated by the presence of acentric chromosome fragments derived from shattered chromosomes within micronuclei (PubMed:35121901, PubMed:35842428, PubMed:37165191, PubMed:37316668). Micronuclei, which are frequently found in cancer cells, consist of chromatin surrounded by their own nuclear membrane: following breakdown of the micronuclear envelope, a process associated with chromothripsis, the CIP2A-TOPBP1 complex tethers chromosome fragments during mitosis to ensure clustered segregation of the fragments to a single daughter cell nucleus, facilitating re-ligation with limited chromosome scattering and loss (PubMed:37165191, PubMed:37316668). Recruits the SWI/SNF chromatin remodeling complex to E2F1-responsive promoters, thereby down-regulating E2F1 activity and inhibiting E2F1-dependent apoptosis during G1/S transition and after DNA damage (PubMed:12697828, PubMed:15075294)	Nucleus
654	P05549	Sequence-specific DNA-binding protein that interacts with inducible viral and cellular enhancer elements to regulate transcription of selected genes. AP-2 factors bind to the consensus sequence 5'-GCCNNNGGC-3' and activate genes involved in a large spectrum of important biological functions including proper eye, face, body wall, limb and neural tube development. They also suppress a number of genes including MCAM/MUC18, C/EBP alpha and MYC. AP-2-alpha is the only AP-2 protein required for early morphogenesis of the lens vesicle. Together with the CITED2 coactivator, stimulates the PITX2 P1 promoter transcription activation. Associates with chromatin to the PITX2 P1 promoter region	Nucleus
655	Q9UKE5	Serine/threonine kinase that acts as an essential activator of the Wnt signaling pathway. Recruited to promoters of Wnt target genes and required to activate their expression. May act by phosphorylating TCF4/TCF7L2. Appears to act upstream of the JUN N-terminal pathway. May play a role in the response to environmental stress. Part of a signaling complex composed of NEDD4, RAP2A and TNIK which regulates neuronal dendrite extension and arborization during development. More generally, it may play a role in cytoskeletal rearrangements and regulate cell spreading. Phosphorylates SMAD1 on Thr-322. Activator of the Hippo signaling pathway which plays a pivotal role in organ size control and tumor suppression by restricting proliferation and promoting apoptosis. MAP4Ks act in parallel to and are partially redundant with STK3/MST2 and STK4/MST2 in the phosphorylation and activation of LATS1/2, and establish MAP4Ks as components of the expanded Hippo pathway (PubMed:26437443)	Nucleus
656	Q15370	SIII, also known as elongin, is a general transcription elongation factor that increases the RNA polymerase II transcription elongation past template-encoded arresting sites. Subunit A is transcriptionally active and its transcription activity is strongly enhanced by binding to the dimeric complex of the SIII regulatory subunits B and C (elongin BC complex) (PubMed:7638163). In embryonic stem cells, the elongin BC complex is recruited by EPOP to Polycomb group (PcG) target genes in order generate genomic region that display both active and repressive chromatin properties, an important feature of pluripotent stem cells (By similarity)	Nucleus
657	Q15369	SIII, also known as elongin, is a general transcription elongation factor that increases the RNA polymerase II transcription elongation past template-encoded arresting sites. Subunit A is transcriptionally active and its transcription activity is strongly enhanced by binding to the dimeric complex of the SIII regulatory subunits B and C (elongin BC complex) (PubMed:7821821). In embryonic stem cells, the elongin BC complex is recruited by EPOP to Polycomb group (PcG) target genes in order generate genomic region that display both active and repressive chromatin properties, an important feature of pluripotent stem cells (By similarity)	Nucleus
658	P13010	Single-stranded DNA-dependent ATP-dependent helicase that plays a key role in DNA non-homologous end joining (NHEJ) by recruiting DNA-PK to DNA (PubMed:11493912, PubMed:12145306, PubMed:7957065, PubMed:8621488). Required for double-strand break repair and V(D)J recombination (PubMed:11493912, PubMed:12145306, PubMed:7957065, PubMed:8621488). Also has a role in chromosome translocation (PubMed:11493912, PubMed:12145306, PubMed:7957065, PubMed:8621488). The DNA helicase II complex binds preferentially to fork-like ends of double-stranded DNA in a cell cycle-dependent manner (PubMed:11493912, PubMed:12145306, PubMed:7957065, PubMed:8621488). It works in the 3'-5' direction (PubMed:11493912, PubMed:12145306, PubMed:7957065, PubMed:8621488). During NHEJ, the XRCC5-XRRC6 dimer performs the recognition step: it recognizes and binds to the broken ends of the DNA and protects them from further resection (PubMed:11493912, PubMed:12145306, PubMed:7957065, PubMed:8621488). Binding to DNA may be mediated by XRCC6 (PubMed:11493912, PubMed:12145306, PubMed:7957065, PubMed:8621488). The XRCC5-XRRC6 dimer acts as a regulatory subunit of the DNA-dependent protein kinase complex DNA-PK by increasing the affinity of the catalytic subunit PRKDC to DNA by 100-fold (PubMed:11493912, PubMed:12145306, PubMed:20383123, PubMed:7957065, PubMed:8621488). The XRCC5-XRRC6 dimer is probably involved in stabilizing broken DNA ends and bringing them together (PubMed:12145306, PubMed:20383123, PubMed:7957065, PubMed:8621488). The assembly of the DNA-PK complex to DNA ends is required for the NHEJ ligation step (PubMed:12145306, PubMed:20383123, PubMed:7957065, PubMed:8621488). The XRCC5-XRRC6 dimer probably also acts as a 5'-deoxyribose-5-phosphate lyase (5'-dRP lyase), by catalyzing the beta-elimination of the 5' deoxyribose-5-phosphate at an abasic site near double-strand breaks (PubMed:20383123). XRCC5 probably acts as the catalytic subunit of 5'-dRP activity, and allows to 'clean' the termini of abasic sites, a class of nucleotide damage commonly associated with strand breaks, before such broken ends can be joined (PubMed:20383123). The XRCC5-XRRC6 dimer together with APEX1 acts as a negative regulator of transcription (PubMed:8621488). In association with NAA15, the XRCC5-XRRC6 dimer binds to the osteocalcin promoter and activates osteocalcin expression (PubMed:12145306). As part of the DNA-PK complex, involved in the early steps of ribosome assembly by promoting the processing of precursor rRNA into mature 18S rRNA in the small-subunit processome (PubMed:32103174). Binding to U3 small nucleolar RNA, recruits PRKDC and XRCC5/Ku86 to the small-subunit processome (PubMed:32103174). Plays a role in the regulation of DNA virus-mediated innate immune response by assembling into the HDP-RNP complex, a complex that serves as a platform for IRF3 phosphorylation and subsequent innate immune response activation through the cGAS-STING pathway (PubMed:28712728)	Nucleus
659	Q9GZX7	Single-stranded DNA-specific cytidine deaminase. Involved in somatic hypermutation (SHM), gene conversion, and class-switch recombination (CSR) in B-lymphocytes by deaminating C to U during transcription of Ig-variable (V) and Ig-switch (S) region DNA. Required for several crucial steps of B-cell terminal differentiation necessary for efficient antibody responses (PubMed:18722174, PubMed:21385873, PubMed:21518874, PubMed:27716525). May also play a role in the epigenetic regulation of gene expression by participating in DNA demethylation (PubMed:21496894)	Nucleus
660	Q15366	Single-stranded nucleic acid binding protein that binds preferentially to oligo dC (PubMed:12414943, PubMed:7607214). Major cellular poly(rC)-binding protein (PubMed:12414943). Also binds poly(rU) (PubMed:12414943). Acts as a negative regulator of antiviral signaling (PubMed:19881509, PubMed:35322803). Negatively regulates cellular antiviral responses mediated by MAVS signaling (PubMed:19881509). It acts as an adapter between MAVS and the E3 ubiquitin ligase ITCH, therefore triggering MAVS ubiquitination and degradation (PubMed:19881509). Negativeley regulates the cGAS-STING pathway via interaction with CGAS, preventing the formation of liquid-like droplets in which CGAS is activated (PubMed:35322803). Together with PCBP1, required for erythropoiesis, possibly by regulating mRNA splicing (By similarity)	Nucleus
661	P61289	Subunit of the 11S REG-gamma (also called PA28-gamma) proteasome regulator, a doughnut-shaped homoheptamer which associates with the proteasome. 11S REG-gamma activates the trypsin-like catalytic subunit of the proteasome but inhibits the chymotrypsin-like and postglutamyl-preferring (PGPH) subunits. Facilitates the MDM2-p53/TP53 interaction which promotes ubiquitination- and MDM2-dependent proteasomal degradation of p53/TP53, limiting its accumulation and resulting in inhibited apoptosis after DNA damage. May also be involved in cell cycle regulation. Mediates CCAR2 and CHEK2-dependent SIRT1 inhibition (PubMed:25361978)	Nucleus
662	P40938	Subunit of the replication factor C (RFC) complex which acts during elongation of primed DNA templates by DNA polymerases delta and epsilon, and is necessary for ATP-dependent loading of proliferating cell nuclear antigen (PCNA) onto primed DNA	Nucleus
663	P35250	Subunit of the replication factor C (RFC) complex which acts during elongation of primed DNA templates by DNA polymerases delta and epsilon, and is necessary for ATP-dependent loading of proliferating cell nuclear antigen (PCNA) onto primed DNA (PubMed:9488738). This subunit binds ATP (By similarity)	Nucleus
664	Q13362	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and might also direct the localization of the catalytic enzyme to a particular subcellular compartment. The PP2A-PPP2R5C holoenzyme may specifically dephosphorylate and activate TP53 and play a role in DNA damage-induced inhibition of cell proliferation. PP2A-PPP2R5C may also regulate the ERK signaling pathway through ERK dephosphorylation	Nucleus
665	Q9UBE0	The heterodimer acts as an E1 ligase for SUMO1, SUMO2, SUMO3, and probably SUMO4. It mediates ATP-dependent activation of SUMO proteins followed by formation of a thioester bond between a SUMO protein and a conserved active site cysteine residue on UBA2/SAE2	Nucleus
666	P23497	Together with PML, this tumor suppressor is a major constituent of the PML bodies, a subnuclear organelle involved in a large number of physiological processes including cell growth, differentiation and apoptosis. Functions as a transcriptional coactivator of ETS1 and ETS2 according to PubMed:11909962. Under certain conditions, it may also act as a corepressor of ETS1 preventing its binding to DNA according to PubMed:15247905. Through the regulation of ETS1 it may play a role in angiogenesis, controlling endothelial cell motility and invasion. Through interaction with the MRN complex it may be involved in the regulation of telomeres lengthening. May also regulate TP53-mediated transcription and through CASP8AP2, regulate FAS-mediated apoptosis. Also plays a role in infection by viruses, including human cytomegalovirus and Epstein-Barr virus, through mechanisms that may involve chromatin and/or transcriptional regulation	Nucleus
667	Q01094	Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC-3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication (PubMed:10675335, PubMed:12717439, PubMed:17050006, PubMed:17704056, PubMed:18625225, PubMed:28992046). The DRTF1/E2F complex functions in the control of cell-cycle progression from G1 to S phase (PubMed:10675335, PubMed:12717439, PubMed:17704056). E2F1 binds preferentially RB1 in a cell-cycle dependent manner (PubMed:10675335, PubMed:12717439, PubMed:17704056). It can mediate both cell proliferation and TP53/p53-dependent apoptosis (PubMed:8170954). Blocks adipocyte differentiation by binding to specific promoters repressing CEBPA binding to its target gene promoters (PubMed:20176812). Directly activates transcription of PEG10 (PubMed:17050006, PubMed:18625225, PubMed:28992046). Positively regulates transcription of RRP1B (PubMed:20040599)	Nucleus
668	Q14209	Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC-3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication. The DRTF1/E2F complex functions in the control of cell-cycle progression from g1 to s phase. E2F2 binds specifically to RB1 in a cell-cycle dependent manner	Nucleus
669	O00716	Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC-3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication. The DRTF1/E2F complex functions in the control of cell-cycle progression from G1 to S phase. E2F3 binds specifically to RB1 in a cell-cycle dependent manner. Inhibits adipogenesis, probably through the repression of CEBPA binding to its target gene promoters (By similarity)	Nucleus
670	Q16254	Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC-3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication. The DRTF1/E2F complex functions in the control of cell-cycle progression from G1 to S phase. E2F4 binds with high affinity to RBL1 and RBL2. In some instances can also bind RB1. Specifically required for multiciliate cell differentiation: together with MCIDAS and E2F5, binds and activate genes required for centriole biogenesis	Nucleus
671	P18848	Transcription factor that binds the cAMP response element (CRE) (consensus: 5'-GTGACGT[AC][AG]-3') and displays two biological functions, as regulator of metabolic and redox processes under normal cellular conditions, and as master transcription factor during integrated stress response (ISR) (PubMed:16682973, PubMed:17684156, PubMed:31023583, PubMed:31444471, PubMed:32132707). Binds to asymmetric CRE's as a heterodimer and to palindromic CRE's as a homodimer (By similarity). Core effector of the ISR, which is required for adaptation to various stress such as endoplasmic reticulum (ER) stress, amino acid starvation, mitochondrial stress or oxidative stress (PubMed:31023583, PubMed:32132707). During ISR, ATF4 translation is induced via an alternative ribosome translation re-initiation mechanism in response to EIF2S1/eIF-2-alpha phosphorylation, and stress-induced ATF4 acts as a master transcription factor of stress-responsive genes in order to promote cell recovery (PubMed:31023583, PubMed:32132706, PubMed:32132707). Promotes the transcription of genes linked to amino acid sufficiency and resistance to oxidative stress to protect cells against metabolic consequences of ER oxidation (By similarity). Activates the transcription of NLRP1, possibly in concert with other factors in response to ER stress (PubMed:26086088). Activates the transcription of asparagine synthetase (ASNS) in response to amino acid deprivation or ER stress (PubMed:11960987). However, when associated with DDIT3/CHOP, the transcriptional activation of the ASNS gene is inhibited in response to amino acid deprivation (PubMed:18940792). Together with DDIT3/CHOP, mediates programmed cell death by promoting the expression of genes involved in cellular amino acid metabolic processes, mRNA translation and the terminal unfolded protein response (terminal UPR), a cellular response that elicits programmed cell death when ER stress is prolonged and unresolved (By similarity). Activates the expression of COX7A2L/SCAF1 downstream of the EIF2AK3/PERK-mediated unfolded protein response, thereby promoting formation of respiratory chain supercomplexes and increasing mitochondrial oxidative phosphorylation (PubMed:31023583). Together with DDIT3/CHOP, activates the transcription of the IRS-regulator TRIB3 and promotes ER stress-induced neuronal cell death by regulating the expression of BBC3/PUMA in response to ER stress (PubMed:15775988). May cooperate with the UPR transcriptional regulator QRICH1 to regulate ER protein homeostasis which is critical for cell viability in response to ER stress (PubMed:33384352). In the absence of stress, ATF4 translation is at low levels and it is required for normal metabolic processes such as embryonic lens formation, fetal liver hematopoiesis, bone development and synaptic plasticity (By similarity). Acts as a regulator of osteoblast differentiation in response to phosphorylation by RPS6KA3/RSK2: phosphorylation in osteoblasts enhances transactivation activity and promotes expression of osteoblast-specific genes and post-transcriptionally regulates the synthesis of Type I collagen, the main constituent of the bone matrix (PubMed:15109498). Cooperates with FOXO1 in osteoblasts to regulate glucose homeostasis through suppression of beta-cell production and decrease in insulin production (By similarity). Activates transcription of SIRT4 (By similarity). Regulates the circadian expression of the core clock component PER2 and the serotonin transporter SLC6A4 (By similarity). Binds in a circadian time-dependent manner to the cAMP response elements (CRE) in the SLC6A4 and PER2 promoters and periodically activates the transcription of these genes (By similarity). Mainly acts as a transcriptional activator in cellular stress adaptation, but it can also act as a transcriptional repressor: acts as a regulator of synaptic plasticity by repressing transcription, thereby inhibiting induction and maintenance of long-term memory (By similarity). Regulates synaptic functions via interaction with DISC1 in neurons, which inhibits ATF4 transcription factor activity by disrupting ATF4 dimerization and DNA-binding (PubMed:31444471)	Nucleus
672	O94842	Transcription factor that modulates cell fate reprogramming from the somatic state to the pluripotent and neuronal fate (By similarity). In liver, controls the expression of hormone-regulated gluconeogenic genes such as G6PC1 and PCK1 (By similarity). This regulation is independent of the insulin receptor activation (By similarity). Also acts as a regulatory component of protein phosphatase 1 (PP1) complexes (PubMed:39603239, PubMed:39603240). Component of the PNUTS-PP1 protein phosphatase complex, a PP1 complex that regulates RNA polymerase II transcription pause-release (PubMed:39603239, PubMed:39603240). PNUTS-PP1 also plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase (PubMed:20516061)	Nucleus
673	Q33E94	Transcription factor that plays a role in early brain development. May activate transcription by interacting directly with the X-box. May activate transcription from CX3CL1 promoter through the X-box during brain development. May be required for neural tube ciliogenesis during embryogenesis (By similarity)	Nucleus
674	P05412	Transcription factor that recognizes and binds to the AP-1 consensus motif 5'-TGA[GC]TCA-3' (PubMed:10995748, PubMed:22083952). Heterodimerizes with proteins of the FOS family to form an AP-1 transcription complex, thereby enhancing its DNA binding activity to the AP-1 consensus sequence 5'-TGA[GC]TCA-3' and enhancing its transcriptional activity (By similarity). Together with FOSB, plays a role in activation-induced cell death of T cells by binding to the AP-1 promoter site of FASLG/CD95L, and inducing its transcription in response to activation of the TCR/CD3 signaling pathway (PubMed:12618758). Promotes activity of NR5A1 when phosphorylated by HIPK3 leading to increased steroidogenic gene expression upon cAMP signaling pathway stimulation (PubMed:17210646). Involved in activated KRAS-mediated transcriptional activation of USP28 in colorectal cancer (CRC) cells (PubMed:24623306). Binds to the USP28 promoter in colorectal cancer (CRC) cells (PubMed:24623306)	Nucleus
675	Q96EK4	Transcription factor, which has both transcriptional activation and repression activities (PubMed:31905202). Also modulates chromatin accessibility (PubMed:38361031). In complex with HCFC1 and ZNF143, regulates the expression of several genes, including AP2S1, ESCO2, OPHN1, RBL1, UBXN8 and ZNF32 (PubMed:26416877). May regulate the expression of genes that encode both cytoplasmic and mitochondrial ribosomal proteins (By similarity). Required for normal mitochondrial development and function. Regulates mitochondrial gene expression, including that of components of the electron transport chain (By similarity). Involved in the maintainance of pluripotency in early embryonic cells, possibly through its action on mitochondrial maturation which is required to meet high energy demands of these cells (By similarity). Required for early development of retina, preventing premature exit of retinal progenitor cells from the cell cycle. This effect may also be mediated by its action on mitochondria (By similarity). Through the regulation of MMACHC gene expression, controls cobalamin metabolism (PubMed:28449119, PubMed:31905202). Required for normal brain development and neural precursor differentiation (By similarity). Involved in cell growth (PubMed:31905202)	Nucleus
676	P43268	Transcriptional activator (PubMed:19307308, PubMed:31552090). May play a role in keratinocyte differentiation (PubMed:31552090)	Nucleus
677	Q15329	Transcriptional activator that binds to E2F sites, these sites are present in the promoter of many genes whose products are involved in cell proliferation. May mediate growth factor-initiated signal transduction. It is likely involved in the early responses of resting cells to growth factor stimulation. Specifically required for multiciliate cell differentiation: together with MCIDAS and E2F5, binds and activate genes required for centriole biogenesis	Nucleus
678	Q06330	Transcriptional regulator that plays a central role in Notch signaling, a signaling pathway involved in cell-cell communication that regulates a broad spectrum of cell-fate determinations. Acts as a transcriptional repressor when it is not associated with Notch proteins. When associated with some NICD product of Notch proteins (Notch intracellular domain), it acts as a transcriptional activator that activates transcription of Notch target genes. Probably represses or activates transcription via the recruitment of chromatin remodeling complexes containing histone deacetylase or histone acetylase proteins, respectively. Specifically binds to the immunoglobulin kappa-type J segment recombination signal sequence. Binds specifically to methylated DNA (PubMed:21991380). Binds to the oxygen responsive element of COX4I2 and activates its transcription under hypoxia conditions (4% oxygen) (PubMed:23303788). Negatively regulates the phagocyte oxidative burst in response to bacterial infection by repressing transcription of NADPH oxidase subunits (By similarity)	Nucleus
679	P06400	Tumor suppressor that is a key regulator of the G1/S transition of the cell cycle (PubMed:10499802). The hypophosphorylated form binds transcription regulators of the E2F family, preventing transcription of E2F-responsive genes (PubMed:10499802). Both physically blocks E2Fs transactivating domain and recruits chromatin-modifying enzymes that actively repress transcription (PubMed:10499802). Cyclin and CDK-dependent phosphorylation of RB1 induces its dissociation from E2Fs, thereby activating transcription of E2F responsive genes and triggering entry into S phase (PubMed:10499802). RB1 also promotes the G0-G1 transition upon phosphorylation and activation by CDK3/cyclin-C (PubMed:15084261). Directly involved in heterochromatin formation by maintaining overall chromatin structure and, in particular, that of constitutive heterochromatin by stabilizing histone methylation. Recruits and targets histone methyltransferases SUV39H1, KMT5B and KMT5C, leading to epigenetic transcriptional repression. Controls histone H4 'Lys-20' trimethylation. Inhibits the intrinsic kinase activity of TAF1. Mediates transcriptional repression by SMARCA4/BRG1 by recruiting a histone deacetylase (HDAC) complex to the c-FOS promoter. In resting neurons, transcription of the c-FOS promoter is inhibited by BRG1-dependent recruitment of a phospho-RB1-HDAC1 repressor complex. Upon calcium influx, RB1 is dephosphorylated by calcineurin, which leads to release of the repressor complex (By similarity)	Nucleus
680	Q5JTV8	Required for nuclear membrane integrity. Induces TOR1A and TOR1B ATPase activity and is required for their location on the nuclear membrane. Binds to A- and B-type lamins. Possible role in membrane attachment and assembly of the nuclear lamina	Nucleus inner membrane
681	P50402	Stabilizes and promotes the formation of a nuclear actin cortical network. Stimulates actin polymerization in vitro by binding and stabilizing the pointed end of growing filaments. Inhibits beta-catenin activity by preventing its accumulation in the nucleus. Acts by influencing the nuclear accumulation of beta-catenin through a CRM1-dependent export pathway. Links centrosomes to the nuclear envelope via a microtubule association. Required for proper localization of non-farnesylated prelamin-A/C. Together with NEMP1, contributes to nuclear envelope stiffness in germ cells (PubMed:32923640). EMD and BAF are cooperative cofactors of HIV-1 infection. Association of EMD with the viral DNA requires the presence of BAF and viral integrase. The association of viral DNA with chromatin requires the presence of BAF and EMD	Nucleus inner membrane
682	Q8IYB3	Part of pre- and post-splicing multiprotein mRNP complexes. As a component of the minor spliceosome, involved in the splicing of U12-type introns in pre-mRNAs (Probable). Involved in numerous pre-mRNA processing events. Promotes constitutive and exonic splicing enhancer (ESE)-dependent splicing activation by bridging together sequence-specific (SR family proteins, SFRS4, SFRS5 and TRA2B/SFRS10) and basal snRNP (SNRP70 and SNRPA1) factors of the spliceosome. Stimulates mRNA 3'-end cleavage independently of the formation of an exon junction complex. Binds both pre-mRNA and spliced mRNA 20-25 nt upstream of exon-exon junctions. Binds RNA and DNA with low sequence specificity and has similar preference for either double- or single-stranded nucleic acid substrates	Nucleus matrix
683	Q9Y265	Possesses single-stranded DNA-stimulated ATPase and ATP-dependent DNA helicase (3' to 5') activity; hexamerization is thought to be critical for ATP hydrolysis and adjacent subunits in the ring-like structure contribute to the ATPase activity (PubMed:17157868, PubMed:33205750). Component of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A (PubMed:14966270). This modification may both alter nucleosome-DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription (PubMed:14966270). This complex may be required for the activation of transcriptional programs associated with oncogene and proto-oncogene mediated growth induction, tumor suppressor mediated growth arrest and replicative senescence, apoptosis, and DNA repair (PubMed:14966270). The NuA4 complex ATPase and helicase activities seem to be, at least in part, contributed by the association of RUVBL1 and RUVBL2 with EP400. NuA4 may also play a direct role in DNA repair when recruited to sites of DNA damage (PubMed:14966270). Component of a SWR1-like complex that specifically mediates the removal of histone H2A.Z/H2AZ1 from the nucleosome (PubMed:24463511). Proposed core component of the chromatin remodeling INO80 complex which exhibits DNA- and nucleosome-activated ATPase activity and catalyzes ATP-dependent nucleosome sliding (PubMed:16230350, PubMed:21303910). Plays an essential role in oncogenic transformation by MYC and also modulates transcriptional activation by the LEF1/TCF1-CTNNB1 complex (PubMed:10882073, PubMed:16014379). Essential for cell proliferation (PubMed:14506706). May be able to bind plasminogen at cell surface and enhance plasminogen activation (PubMed:11027681)	Nucleus matrix
684	Q9Y230	Possesses single-stranded DNA-stimulated ATPase and ATP-dependent DNA helicase (5' to 3') activity; hexamerization is thought to be critical for ATP hydrolysis and adjacent subunits in the ring-like structure contribute to the ATPase activity (PubMed:10428817, PubMed:17157868, PubMed:33205750). Component of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A (PubMed:14966270). This modification may both alter nucleosome -DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription (PubMed:14966270). This complex may be required for the activation of transcriptional programs associated with oncogene and proto-oncogene mediated growth induction, tumor suppressor mediated growth arrest and replicative senescence, apoptosis, and DNA repair (PubMed:14966270). The NuA4 complex ATPase and helicase activities seem to be, at least in part, contributed by the association of RUVBL1 and RUVBL2 with EP400 (PubMed:14966270). NuA4 may also play a direct role in DNA repair when recruited to sites of DNA damage (PubMed:14966270). Component of a SWR1-like complex that specifically mediates the removal of histone H2A.Z/H2AZ1 from the nucleosome (PubMed:24463511). Proposed core component of the chromatin remodeling INO80 complex which exhibits DNA- and nucleosome-activated ATPase activity and catalyzes ATP-dependent nucleosome sliding (PubMed:16230350, PubMed:21303910). Plays an essential role in oncogenic transformation by MYC and also modulates transcriptional activation by the LEF1/TCF1-CTNNB1 complex (PubMed:10882073, PubMed:16014379). May also inhibit the transcriptional activity of ATF2 (PubMed:11713276). Involved in the endoplasmic reticulum (ER)-associated degradation (ERAD) pathway where it negatively regulates expression of ER stress response genes (PubMed:25652260). May play a role in regulating the composition of the U5 snRNP complex (PubMed:28561026)	Nucleus matrix
685	Q8N1F7	Plays a role in the nuclear pore complex (NPC) assembly and/or maintenance (PubMed:9348540). May anchor nucleoporins, but not NUP153 and TPR, to the NPC. During renal development, regulates podocyte migration and proliferation through SMAD4 signaling (PubMed:26878725)	Nucleus membrane
686	Q8IZQ1	Required for selective macroautophagy (aggrephagy). Acts as an adapter protein by linking specific proteins destined for degradation to the core autophagic machinery members, such as the ATG5-ATG12-ATG16L E3-like ligase, SQSTM1 and LC3 (PubMed:20417604). Along with p62/SQSTM1, involved in the formation and autophagic degradation of cytoplasmic ubiquitin-containing inclusions (p62 bodies, ALIS/aggresome-like induced structures). Along with SQSTM1, required to recruit ubiquitinated proteins to PML bodies in the nucleus (PubMed:20168092). Important for normal brain development. Essential for the formation of axonal tracts throughout the brain and spinal cord, including the formation of the major forebrain commissures. Involved in the ability of neural cells to respond to guidance cues. Required for cortical neurons to respond to the trophic effects of netrin-1/NTN1 (By similarity). Regulates Wnt signaling through the removal of DVL3 aggregates, likely in an autophagy-dependent manner. This process may be important for the determination of brain size during embryonic development (PubMed:27008544). May regulate osteoclastogenesis by acting on the TNFSF11/RANKL - TRAF6 pathway (By similarity). After cytokinetic abscission, involved in midbody remnant degradation (PubMed:24128730). In vitro strongly binds to phosphatidylinositol 3-phosphate (PtdIns3P) (PubMed:15292400)	Nucleus membrane
687	Q9BVC6	Functions as a voltage-gated monoatomic cation channel permeable to both potassium and calcium (By similarity). Plays a role in the cellular response to DNA damage (PubMed:23542032)	Nucleus outer membrane
